"","subject","task","display","screen","rt","response","T2.leftFractal","T2.rightFractal","trial","T2.chosenFractal"
"194","10",2,"T2Trial","Choice","1147.8","left","fr0p13","fr0p0",2,"fr0p13"
"195","10",2,"T2Trial","Choice","1171.3","right","fp13H","fp1H",3,"fp1H"
"196","10",2,"T2Trial","Choice","1218.2","left","fp13L","fr0p0",4,"fp13L"
"197","10",2,"T2Trial","Choice","1045.5","right","fr0p0","fr0p13",5,"fr0p13"
"198","10",2,"T2Trial","Choice","863.5","left","fp13H","fp13L",6,"fp13H"
"199","10",2,"T2Trial","Choice","1235.2","right","fr1p13","fr1p1",7,"fr1p1"
"200","10",2,"T2Trial","Choice","806.8","right","fr1p13","fr1p1",8,"fr1p1"
"201","10",2,"T2Trial","Choice","1275.5","right","fp13L","fp13H",9,"fp13H"
"202","10",2,"T2Trial","Choice","1085.9","left","fr0p0","fr0p13",10,"fr0p0"
"203","10",2,"T2Trial","Choice","959.8","left","fp13H","fp1H",11,"fp13H"
"204","10",2,"T2Trial","Choice","917.8999999","right","fp13L","fr0p0",12,"fr0p0"
"205","10",2,"T2Trial","Choice","1085.6","right","fp13L","fp13H",13,"fp13H"
"206","10",2,"T2Trial","Choice","990.8","left","fr0p13","fp13H",14,"fr0p13"
"207","10",2,"T2Trial","Choice","1117.4","right","fp13L","fp13H",15,"fp13H"
"208","10",2,"T2Trial","Choice","1260.7","left","fp1H","fp13H",16,"fp1H"
"209","10",2,"T2Trial","Choice","1172.9","left","fp1H","fp13H",17,"fp1H"
"210","10",2,"T2Trial","Choice","1341.8","left","fr0p0","fp13L",18,"fr0p0"
"211","10",2,"T2Trial","Choice","1428.9","left","fr0p13","fr0p0",19,"fr0p13"
"212","10",2,"T2Trial","Choice","1139","right","fr1p13","fr1p1",20,"fr1p1"
"213","10",2,"T2Trial","Choice","746.5999999","left","fr1p1","fr1p13",21,"fr1p1"
"214","10",2,"T2Trial","Choice","1176.7","left","fr0p13","fp13H",22,"fr0p13"
"215","10",2,"T2Trial","Choice","1246.9","right","fp13H","fr0p13",23,"fr0p13"
"216","10",2,"T2Trial","Choice","1049.7","right","fp13L","fr0p0",24,"fr0p0"
