"","subject","task","display","screen","rt","response","T3.img","trial"
"320","5",3,"T3Trial","Rating Screen","764.7",2,"72.png",32
"321","5",3,"T3Trial","Rating Screen","786.5",2,"38.png",33
"322","5",3,"T3Trial","Rating Screen","909.2",1,"31.png",34
"323","5",3,"T3Trial","Rating Screen","859.2",1,"36.png",35
"324","5",3,"T3Trial","Rating Screen","1113.5",2,"17.png",36
"325","5",3,"T3Trial","Rating Screen","1124.3",1,"46.png",37
"326","5",3,"T3Trial","Rating Screen","657.8",1,"19.png",38
"327","5",3,"T3Trial","Rating Screen","887.2",2,"60.png",39
"328","5",3,"T3Trial","Rating Screen","1066.5",2,"43.png",40
"329","5",3,"T3Trial","Rating Screen","762.1",1,"62.png",41
"330","5",3,"T3Trial","Rating Screen","709.2",1,"71.png",42
"331","5",3,"T3Trial","Rating Screen","633.8",1,"68.png",43
"332","5",3,"T3Trial","Rating Screen","1299.7",0,"4.png",44
"333","5",3,"T3Trial","Rating Screen","1105.3",1,"66.png",45
"334","5",3,"T3Trial","Rating Screen","1110.5",1,"14.png",46
"335","5",3,"T3Trial","Rating Screen","1291.7",0,"21.png",47
"336","5",3,"T3Trial","Rating Screen","862.6",1,"15.png",48
"337","5",3,"T3Trial","Rating Screen","1050.2",2,"45.png",49
"338","5",3,"T3Trial","Rating Screen","721.6",1,"3.png",50
"339","5",3,"T3Trial","Rating Screen","1219.5",1,"63.png",51
"340","5",3,"T3Trial","Rating Screen","2401.9",3,"26.png",52
"341","5",3,"T3Trial","Rating Screen","1121.2",0,"44.png",53
"342","5",3,"T3Trial","Rating Screen","788.3",0,"69.png",54
"343","5",3,"T3Trial","Rating Screen","857",1,"41.png",55
"344","5",3,"T3Trial","Rating Screen","770.6",1,"23.png",56
"345","5",3,"T3Trial","Rating Screen","828.9",0,"70.png",57
"346","5",3,"T3Trial","Rating Screen","816.7",1,"2.png",58
"347","5",3,"T3Trial","Rating Screen","921.5",0,"18.png",59
"348","5",3,"T3Trial","Rating Screen","1216",1,"33.png",60
"349","5",3,"T3Trial","Rating Screen","779.9",1,"40.png",61
"350","5",3,"T3Trial","Rating Screen","879.3",1,"58.png",62
"351","5",3,"T3Trial","Rating Screen","927",1,"20.png",63
"352","5",3,"T3Trial","Rating Screen","940.7",1,"35.png",64
"353","5",3,"T3Trial","Rating Screen","941.2",0,"16.png",65
"354","5",3,"T3Trial","Rating Screen","1035.2",2,"1.png",66
"355","5",3,"T3Trial","Rating Screen","788.6",1,"56.png",67
"356","5",3,"T3Trial","Rating Screen","1186.2",1,"7.png",68
"357","5",3,"T3Trial","Rating Screen","1328",1,"64.png",69
"358","5",3,"T3Trial","Rating Screen","1140.8",0,"10.png",70
"359","5",3,"T3Trial","Rating Screen","1670.9",0,"57.png",71
"360","5",3,"T3Trial","Rating Screen","799.5",1,"32.png",72
"361","6",3,"T3Trial","Rating Screen","2037.4",1,"62.png",1
"362","6",3,"T3Trial","Rating Screen","1339.3",0,"69.png",2
"363","6",3,"T3Trial","Rating Screen","1300.5",0,"19.png",3
"364","6",3,"T3Trial","Rating Screen","1322.2",-1,"47.png",4
"365","6",3,"T3Trial","Rating Screen","1502.7",-1,"45.png",5
"366","6",3,"T3Trial","Rating Screen","1848.4",1,"32.png",6
"367","6",3,"T3Trial","Rating Screen","1243.5",0,"30.png",7
"368","6",3,"T3Trial","Rating Screen","1080.7",1,"2.png",8
"369","6",3,"T3Trial","Rating Screen","752.5",1,"68.png",9
"370","6",3,"T3Trial","Rating Screen","1096.9",1,"31.png",10
"371","6",3,"T3Trial","Rating Screen","1066",0,"42.png",11
"372","6",3,"T3Trial","Rating Screen","1142.9",1,"56.png",12
"373","6",3,"T3Trial","Rating Screen","1200.6",1,"58.png",13
"374","6",3,"T3Trial","Rating Screen","1104.9",2,"36.png",14
"375","6",3,"T3Trial","Rating Screen","881.0999999",1,"72.png",15
"376","6",3,"T3Trial","Rating Screen","7241.7",3,"33.png",16
"377","6",3,"T3Trial","Rating Screen","999.1999998",1,"22.png",17
"378","6",3,"T3Trial","Rating Screen","1111.3",1,"9.png",18
"379","6",3,"T3Trial","Rating Screen","1184.7",-1,"21.png",19
"380","6",3,"T3Trial","Rating Screen","1109.8",-1,"67.png",20
"381","6",3,"T3Trial","Rating Screen","1659.6",0,"38.png",21
"382","6",3,"T3Trial","Rating Screen","1104.5",0,"5.png",22
"383","6",3,"T3Trial","Rating Screen","1216.7",0,"34.png",23
"384","6",3,"T3Trial","Rating Screen","677.3999999",0,"51.png",24
"385","6",3,"T3Trial","Rating Screen","1274",1,"64.png",25
"386","6",3,"T3Trial","Rating Screen","1341.7",1,"8.png",26
"387","6",3,"T3Trial","Rating Screen","1104.5",0,"53.png",27
"388","6",3,"T3Trial","Rating Screen","1014.6",0,"7.png",28
"389","6",3,"T3Trial","Rating Screen","1256.1",0,"70.png",29
"390","6",3,"T3Trial","Rating Screen","1345.5",1,"17.png",30
"391","6",3,"T3Trial","Rating Screen","1150.6",1,"35.png",31
"392","6",3,"T3Trial","Rating Screen","1073",0,"23.png",32
"393","6",3,"T3Trial","Rating Screen","1210.9",0,"41.png",33
"394","6",3,"T3Trial","Rating Screen","1049.8",1,"54.png",34
"395","6",3,"T3Trial","Rating Screen","986.3999999",0,"13.png",35
"396","6",3,"T3Trial","Rating Screen","1150",0,"48.png",36
"397","6",3,"T3Trial","Rating Screen","876.9000001",1,"1.png",37
"398","6",3,"T3Trial","Rating Screen","628.5",1,"57.png",38
"399","6",3,"T3Trial","Rating Screen","727.8000002",1,"49.png",39
"400","6",3,"T3Trial","Rating Screen","1185.7",2,"59.png",40
